宗教,场所名称,场所类别,所在区,地址,联系电话,邮政编码,负责人,文物保护级别,统一社会信用代码
道教（正一）,上海城隍庙,寺观教堂,黄浦区,上海市黄浦区方浜中路249号,021-63865700,200010,吉宏忠,省级文物保护单位,71310101E78905469L
道教（正一）,上海白云观,寺观教堂,黄浦区,上海市黄浦区大境路239号,021－63287236,200010,姚树良,市县级文物保护单位,71310101134538404W
基督教,上海市基督教沐恩堂,寺观教堂,黄浦区,上海市黄浦区西藏中路316号,021-63225069,200001,姜茜莉,省级文物保护单位,71310101424810007X
基督教,上海市基督教诸圣堂,寺观教堂,黄浦区,上海市黄浦区复兴中路425号,021-63850906,200025,王翠芳,市县级文物保护单位,71310101425071234A
基督教,上海市基督教清心堂,寺观教堂,黄浦区,上海市黄浦区大昌街30号,021-63770874,200011,刘利君,省级文物保护单位,71310101424815078C
基督教,上海市基督教惠中堂,寺观教堂,黄浦区,上海市黄浦区徐家汇路38-40号,021-63202456,200025,陈轶丽,无,71310101093484840D
佛教（汉语系）,上海法藏讲寺,寺观教堂,黄浦区,上海市黄浦区吉安路271号,021-63114971,200021,光慧,市县级文物保护单位,713101014250712425
佛教（汉语系）,上海慈修庵,寺观教堂,黄浦区,上海市黄浦区榛岭街15号,021-63282892,200010,常济,市县级文物保护单位,713101014248150274
佛教（汉语系）,上海沉香阁,寺观教堂,黄浦区,上海市黄浦区沉香阁路29号,021-63555508,200010,定慧,全国重点文物保护单位,713101014248159088
伊斯兰教,上海小桃园清真寺,寺观教堂,黄浦区,上海市黄浦区复兴东路小桃园街52 号,021-63775442,200010,金宏伟,省级文物保护单位,71310101666090882Q
伊斯兰教,上海福佑路清真寺,寺观教堂,黄浦区,上海市黄浦区福佑路378号,021--63282135,200010,韩法营,市县级文物保护单位,713101016660909114
伊斯兰教,上海清真女寺,寺观教堂,黄浦区,上海市黄浦区小桃园街24号,021--63773032,200010,刘健,无,713101016660908663
天主教,上海重庆南路天主堂,寺观教堂,黄浦区,上海市黄浦区重庆南路270号,021-64670199,200025,吴建林,无,71310101764281201Y
天主教,上海四川南路天主堂,寺观教堂,黄浦区,上海市黄浦区四川南路36号,021-63280293,200002,何为,省级文物保护单位,71310101754322815P
天主教,上海董家渡天主堂,寺观教堂,黄浦区,上海市黄浦区董家渡路185号,021-63787058,200010,陆裕春神父,省级文物保护单位,713101014248158600
天主教,上海巨鹿路君王堂,寺观教堂,黄浦区,上海市黄浦区巨鹿路361号,021-62178107,200020,赵保军,省级文物保护单位,71310101MCU181516P
基督教,上海市基督教国际礼拜堂,寺观教堂,徐汇区,上海市徐汇区衡山路53号,021-64377610,200031,郑贡达,省级文物保护单位,71310104E78811518M
基督教,上海市基督教国际礼拜堂龙华固定活动处所,固定处所,徐汇区,上海市徐汇区龙华西路31弄47号102室,021-34171700,200232,沈美英,无,71310104MCU082198F
基督教,上海市基督教国际礼拜堂长桥固定活动处所,固定处所,徐汇区,上海市徐汇区长桥四村79号103室,021-54937767,200231,徐美萍,无,71310104MCU0822190
基督教,上海市基督教国际礼拜堂漕溪一村固定活动处所,固定处所,徐汇区,上海市徐汇区漕溪路漕溪一村65号102室,021-54207115,200233,方金明,全国重点文物保护单位,71310104MCU082227T
基督教,徐汇区基督教漕溪固定活动处所,固定处所,徐汇区,上海市徐汇区漕溪路190号华林大厦4楼,021-54192206,200233,杨小弟,无,71310104MCU082243G
佛教（汉语系）,上海龙华古寺,寺观教堂,徐汇区,上海市徐汇区龙华路2853号,021-64566085*8106,200232,慧真 平熙,全国重点文物保护单位,71310104425012410B
佛教（汉语系）,上海宁国禅寺,寺观教堂,徐汇区,上海市徐汇区华泾路858号,021-54826580,200231,平熙,无,713101045947270119
天主教,徐家汇天主堂,寺观教堂,徐汇区,上海市徐汇区蒲西路158号,021-64382595,200030,顾张军,全国重点文物保护单位,7131010406601291XJ
天主教,紫阳玫瑰圣母堂,固定处所,徐汇区,上海市徐汇区龙吴路2573号,021-64382595,200231,张恒毅,无,7131010407812912XH
道教（正一）,上海三泾庙,寺观教堂,长宁区,上海市长宁区长宁路三泾北宅244号,021-62412538,200051,夏玉东,无,71310105690131904J
基督教,上海市基督教沪西礼拜堂,寺观教堂,长宁区,上海市长宁区长宁路1465号,021-62597389,200051,俞光植,无,713101054248401504
基督教,上海市基督教新泾礼拜堂,固定处所,长宁区,上海市长宁区哈密路77号,021-52189950,200335,俞光植,无,71310105594741585U
基督教,长宁区基督教天山固定活动处所,固定处所,长宁区,上海市长宁区仙霞路701号三楼,021-62332671,200336,周毅萍,无,71310105MCU08226XH
佛教（汉语系）,福缘禅寺,寺观教堂,长宁区,上海市长宁区镇宁路465弄31号,021-62138473,200051,仁净,无,71310105424840185N
天主教,曹家渡堂,寺观教堂,长宁区,上海市长宁区万航渡路1066号,021-62521055,200042,田愿想,无,713101055696468932
天主教,上海天主教息焉堂,寺观教堂,长宁区,上海市长宁区可乐路1号,021-52199769,200335,李艳军,省级文物保护单位,71310105062528812Y
天主教,上海长宁遵义南路天主堂,寺观教堂,长宁区,上海市长宁区万航渡路1066号,021-62090264,200336,李艳军,无,71310105062528951M
基督教,上海市基督教新恩堂,固定处所,静安区,上海市静安区乌鲁木齐北路25号,021-62580451,200040,张剑民,市县级文物保护单位,71310106MCU632743J
基督教,上海市基督教怀恩堂,寺观教堂,静安区,上海市静安区陕西北路375号,021-62585598,200040,詹敏,省级文物保护单位,71310106425012349H
基督教,基督教闸北堂,寺观教堂,静安区,上海市静安区宝通路340号,021-56629409,200071,秦小林,省级文物保护单位,71310106760585101D
基督教,基督教灵泉堂,固定处所,静安区,上海市静安区临汾路1555号,021-56410073,200433,葛蕤,无,71310106MCU0775161
佛教（汉语系）,上海静安寺,寺观教堂,静安区,上海市静安区南京西路1686号,021－62566366,200040,慧明,省级文物保护单位,71310106424845496E
佛教（汉语系）,宝华寺,寺观教堂,静安区,上海市静安区高平路1000号,021-56503032,200436,永觉,无,71310106424855125T
